"plotcode","mean_biomass","SGM","sowndiv","mean_org_02","mean_inorg_02","mean_C_02","mean_org_20","mean_inorg_20","mean_bulk","mean_C_20","block","TNleaching_av","leach_costs","meanSR","mean_org_diff","SOC_costs","costs_total"
"B2A17",450.499210526316,127.690960789474,8,19.5708333333333,13.6041666666667,33.175,19.5338181333333,14.7175518266667,1.358907214,34.25136996,"B2",2.90691686556627,-32.6446764003092,6.22033898305085,-0.037015199999999,-5.38489029914563,89.6613940900188
"B2A18",450.089605263158,127.411200394737,16,21.1166666666667,13.14,34.2566666666667,21.7094305433333,14.3647571683333,1.32644469833333,36.0741877116667,"B2",1.13456411529597,-12.7411550147737,11.2,0.592763876666666,84.1739744353636,198.844019815327
"B2A19",221.406842105263,-28.7791268421053,2,22.3133333333333,13.0433333333333,35.3566666666667,21.5352452383333,14.4500033283333,1.28880458466667,35.9852485666667,"B2",0.77422580268303,-8.69455576413042,2,-0.778088095000001,-107.355129132555,-144.828811738791
"B2A20",202.316052631579,-41.8181360526316,2,23.3725,12.8691666666667,36.2416666666667,20.4276215766667,14.15560386,1.28631824966667,34.5832254366667,"B2",2.40432388242771,-27.0005571996632,1.88135593220339,-2.94487842333333,-405.529784708453,-474.348477960748
"B2A21",760.291052631579,339.278788947369,8,22.27,12.9433333333333,35.2133333333333,20.9106799066667,14.2454296966667,1.17701631783333,35.1561096033333,"B2",1.57617971818797,-17.7004982352509,6.91525423728814,-1.35932009333333,-171.281783424496,150.296507287621
"B2A22",727.284473684211,316.735295526316,16,22.1533333333333,12.47,34.6233333333333,23.8783424333333,12.781894505,1.13429826183333,36.6602369383333,"B2",3.67911496942543,-41.3164611066476,11.2203389830508,1.7250091,209.471823259413,484.890657679081
"B3A01",279.566052631579,10.9436139473684,1,20.6833333333333,19.6166666666667,40.3,18.1107059266667,13.97844794,1.2480027205,32.0891538666667,"B3",1.33323576663231,-14.9722376592808,1,-2.57262740666667,-343.715707781885,-347.744331493798
"B3A02",165.667894736842,-66.8488278947368,2,19.54,18.2366666666667,37.7766666666667,15.7865756358333,14.7498372783333,1.273350069,30.5364129141667,"B3",2.77539641493324,-31.1677017397003,1.93220338983051,-3.75342436416667,-511.661147795996,-609.677677430433
"B3A03",341.689210526316,53.3737307894737,4,20.77,20.8666666666667,41.6366666666667,16.3416123413333,15.0910167916667,1.209331958,31.432629133,"B3",1.81551168003998,-20.3881961668489,3.49152542372881,-4.42838765866667,-573.3213533196,-540.335818696975
"B3A04",440.939210526316,121.161480789474,8,19.2233333333333,20.01,39.2333333333333,17.679803865,18.16225364,1.21147148033333,35.842057505,"B3",0.983265948598725,-11.0420766027637,6.35593220338983,-1.54352946833333,-200.186633309717,-90.0672291230065
"B3A05",781.653947368421,353.869646052632,8,20.0133333333333,18.5066666666667,38.52,20.8246443033333,15.52260234,1.2708509925,36.3472466433333,"B3",1.46935235464348,-16.5008269426462,5.49152542372881,0.811310969999997,110.379630649548,447.748449759533
"B3A06",335.446315789474,49.1098336842106,1,22.1833333333333,17.1791666666667,39.3625,19.7580232516667,16.7088344616667,1.27379216633333,36.4668577133333,"B3",0.723189793830261,-8.12142138471383,1,-2.42531008166667,-330.729398930382,-289.740986630885
"B3A07",738.859210526316,324.640840789474,8,18.9466666666667,15.24,34.1866666666667,20.9466423116667,15.58443038,1.27281250866667,36.5310726916667,"B3",1.23592582661433,-13.879447032879,6.20338983050847,1.999975645,272.518567595351,583.279961351946
"B3A08",301.998421052632,26.2649215789474,2,20.4066666666667,14.1666666666667,34.5733333333333,18.2836814383333,15.4593770116667,1.303480212,33.74305845,"B3",1.07951999739477,-12.1230095707433,1.86440677966102,-2.12298522833333,-296.250008006538,-282.108095998334
"B3A09",539.627105263158,188.565312894737,16,22.5208333333333,13.2416666666667,35.7625,22.554342445,14.1891056683333,1.2398925705,36.7434481133333,"B3",0.809776022155913,-9.09378472881091,11.5,0.0335091116666675,4.44788887357545,183.919417039501
"B3A11",400.575263157895,93.5929047368422,4,22.39,13.0033333333333,35.3933333333333,21.7940397,13.728815925,1.23380341716667,35.522855625,"B3",1.16720894265199,-13.1077564259819,3.25423728813559,-0.595960300000002,-78.7173118280221,1.76783648283821
"B3A12",184.950789473684,-53.6786107894737,1,24.6966666666667,13.5433333333333,38.24,21.6206909433333,14.5449435983333,1.24475498533333,36.1656345416667,"B3",8.03801840660449,-90.2669467061684,1,-3.07597572333333,-409.896050439433,-553.841607935075
