year;month;plot;treatment;depth.min;depth.max;root.bm;coarse_root.bm;fine_root.bm
2021;6;B1A19;D3;0.2;0.3;156.738;57.481;99.257
2021;6;B1A19;D3;0.3;0.4;41.471;0;41.471
2021;6;B1A20;D3;0.05;0.1;140.455;0;140.455
2021;6;B1A20;D3;0.1;0.2;170.735;0;170.735
2021;6;B1A20;D3;0.2;0.3;76.221;0;76.221
2021;6;B1A20;D3;0.3;0.4;54.29;0;54.29
2021;6;B1A21;D3;0.05;0.1;42.788;0;42.788
2021;6;B1A21;D3;0.1;0.2;45.248;0;45.248
2021;6;B1A21;D3;0.2;0.3;35.755;0;35.755
2021;6;B1A21;D3;0.3;0.4;19.921;0;19.921
2021;6;B1A22;D3;0.05;0.1;192.632;40.13;152.501
2021;6;B1A22;D3;0.1;0.2;107.091;0;107.091
2021;6;B1A22;D3;0.2;0.3;86.615;8.055;78.56
2021;6;B1A22;D3;0.3;0.4;49.821;0;49.821
2021;6;B2A01;D3;0.05;0.1;61.878;0;61.878
2021;6;B2A01;D3;0.1;0.2;74.801;0;74.801
2021;6;B2A01;D3;0.2;0.3;61.947;0;61.947
2021;6;B2A01;D3;0.3;0.4;27.578;0;27.578
2021;6;B2A02;D3;0.05;0.1;153.378;12.251;141.127
2021;6;B2A02;D3;0.1;0.2;134.53;0;134.53
2021;6;B2A02;D3;0.2;0.3;136.02;64.369;71.651
2021;6;B2A02;D3;0.3;0.4;60.423;26.016;34.407
2021;6;B2A03;D3;0.05;0.1;97.528;13.813;83.715
2021;6;B2A03;D3;0.1;0.2;103.384;0;103.384
2021;6;B2A03;D3;0.2;0.3;55.537;0;55.537
2021;6;B2A03;D3;0.3;0.4;32.74;0;32.74
2021;6;B2A04;D3;0.05;0.1;37.833;0;37.833
2021;6;B2A04;D3;0.1;0.2;127.532;83.299;44.233
2021;6;B2A04;D3;0.2;0.3;26.123;0;26.123
2021;6;B2A04;D3;0.3;0.4;13.893;0;13.893
2021;6;B2A05;D3;0.05;0.1;53.355;8.734;44.621
2021;6;B2A05;D3;0.1;0.2;50.895;0;50.895
2021;6;B2A05;D3;0.2;0.3;38.145;0;38.145
2021;6;B2A05;D3;0.3;0.4;15.66;0;15.66
2021;6;B2A06;D3;0.05;0.1;70.054;0;70.054
2021;6;B2A06;D3;0.1;0.2;46.079;0;46.079
2021;6;B2A06;D3;0.2;0.3;24.46;0;24.46
2021;6;B2A06;D3;0.3;0.4;24.287;0;24.287
2021;6;B2A08;D3;0.05;0.1;47.361;0;47.361
2021;6;B2A08;D3;0.1;0.2;94.618;0;94.618
2021;6;B2A08;D3;0.2;0.3;29.068;0;29.068
2021;6;B2A08;D3;0.3;0.4;19.402;0;19.402
2021;6;B2A09;D3;0.05;0.1;48.435;0;48.435
2021;6;B2A09;D3;0.1;0.2;64.06;0;64.06
2021;6;B2A09;D3;0.2;0.3;39.081;0;39.081
2021;6;B2A09;D3;0.3;0.4;9.147;0;9.147
2021;6;B2A10;D3;0.05;0.1;273.287;0;273.287
2021;6;B2A10;D3;0.1;0.2;276.925;0;276.925
2021;6;B2A10;D3;0.2;0.3;352.003;0;352.003
2021;6;B2A10;D3;0.3;0.4;96.143;0;96.143
2021;6;B2A12;D3;0.05;0.1;141.46;6.905;134.555
2021;6;B2A12;D3;0.1;0.2;132.971;0;132.971
2021;6;B2A12;D3;0.2;0.3;140.42;0;140.42
2021;6;B2A12;D3;0.3;0.4;32.463;0;32.463
2021;6;B2A13;D3;0.05;0.1;90.876;0;90.876
2021;6;B2A13;D3;0.1;0.2;121.607;0;121.607
2021;6;B2A13;D3;0.2;0.3;61.947;0;61.947
2021;6;B2A13;D3;0.3;0.4;47.465;0;47.465
2021;6;B2A14;D3;0.05;0.1;114.678;0;114.678
